episode,total_reward,q_mean,q_max,q_min,critic_loss,policy_loss,action_mean,action_std,timestep,avg_reward,best_reward,worst_reward,advantage
0,106.43189332748062,0,0,0,0,0,0,0,100,0,0,0,0
1,84.63857101257236,0,0,0,0,0,0,0,200,0,0,0,0
2,241.0375670667073,0.43852019191734376,2.5422086448423444,-1.9170497494734942,3.1476940321070805,-0.4389586355241518,0.66520226,0.05750655,300,0,0,0,0.036015677698222656
3,-187.2907021282574,0.3914522743385649,4.6955820741476835,-4.0791089652476185,0.08404327754984901,-0.4058680626679751,0.59528315,0.09598097,400,0,0,0,-0.009774807851560891
4,-602.9892834259955,0.1434126783300329,8.345506942432738,-9.830682172976209,0.030276523354253182,-0.16650310429659756,0.62630475,0.07613667,500,0,0,0,0.0005130748429511257
5,183.04289438290704,-0.07748766218371664,10.409220578694585,-13.10720296821209,0.006038982958943655,0.04725636617101804,0.62335175,0.07299913,600,0,0,0,0.0004184279635529777
6,454.7819260962498,0.16181249329538056,12.673342897635116,-16.33715121513264,0.014166646172929091,-0.19891701402888956,0.62844414,0.09674562,700,0,0,0,0.0023892001446449394
7,322.74827353084106,0.5947605190855084,15.090587704069286,-19.710986183949995,0.008477718862532466,-0.6457747754825888,0.67671967,0.12300295,800,0,0,0,0.0008116501692356385
8,619.0626381175451,1.1034181366865883,18.200163089867793,-23.287730515605272,0.007611203353118264,-1.1705136234912807,0.6900619,0.14087407,900,0,0,0,0.0013495251612411655
9,575.779252942128,1.701296992574878,26.646227786838004,-26.82017734155109,0.010649889379877734,-1.7767136731131712,0.6701314,0.14976235,1000,0,0,0,5.3935898671723176e-05
10,-2.037212744037849,1.7502180735270183,28.274979790051777,-26.57542896270752,0.019593958898137014,-1.8179070154825847,0.6641336,0.14780456,1002,0,0,0,0.0870888556043307
11,-91.11160088390388,2.10167121238449,31.03848097356809,-30.507951682927658,0.014035903872465906,-2.1762621029704605,0.6687359,0.14600414,1100,0,0,0,0.0006004145014936067
12,517.5000491834852,2.2269196430039324,35.15017148420867,-34.408824975241714,0.014036727014000869,-2.316901627614442,0.69670284,0.17069502,1200,0,0,0,0.00048653104402099795
13,866.4849563158457,2.817352442629008,39.60024186778149,-38.007903693099614,0.01549574532561782,-2.9175178514987934,0.7072832,0.17789604,1300,0,0,0,0.0007415570245008377
14,234.06988986842305,3.450416320903534,43.96105615498642,-41.76654003284596,0.016656740668922764,-3.5549925409182155,0.6937862,0.16953743,1400,0,0,0,6.578080117018888e-05
15,164.09345008092572,3.783612790733877,47.870891603155165,-44.341735380667224,0.024640466792113853,-3.893060083742495,0.6949659,0.17319928,1500,0,0,0,0.00085338431658217
16,288.9584261450615,4.2645028881753735,52.37813659549161,-48.58607176899508,0.022801763738696825,-4.379974846888071,0.6909145,0.1761103,1600,0,0,0,-4.1904937051023395e-05
17,-10.90058545389195,4.461341523963594,56.46292017124318,-51.827488870331734,0.02302522903703379,-4.581749122953576,0.68441194,0.18156713,1700,0,0,0,0.000516226963588485
18,-46.72417824923636,4.473355039602979,60.388342061026734,-55.24190012613932,0.029026796169553944,-4.598363754323837,0.6709589,0.18331221,1800,0,0,0,7.678006747455308e-05
19,-774.2203897973609,4.262834092984697,64.67589048905806,-58.513724715621386,0.030164069985274714,-4.396588913117997,0.66557133,0.18703383,1900,0,0,0,-0.00019372043377008
20,-482.29452107079726,3.7067765386819036,68.65769527576587,-63.79367410935938,0.035502032856598045,-3.844434455589012,0.6631192,0.19650035,2000,0,0,0,-0.0005708750371071777
21,-0.8626158125817189,3.014680862426758,72.3004740079244,-66.99937438964844,0.03175798306862513,-3.1502908070882163,0.67013216,0.20613723,2002,0,0,0,0.051065887634952865
22,-104.0004242767915,3.374434250552638,72.30542533332799,-67.97793123024661,0.04098504602427588,-3.5593659666930737,0.60545343,0.2034309,2100,0,0,0,-0.00019315891379655218
23,-654.6376788038087,3.018707968971946,76.96243446282666,-69.89828215705023,0.05353672227975897,-3.2134766048855252,0.58640957,0.20177689,2200,0,0,0,-0.0003033329494397849
24,-1178.9655644809359,2.267973209471012,80.04486062069132,-74.78636843748767,0.05002718649001836,-2.464725783376983,0.58423084,0.2006552,2300,0,0,0,-0.0006334047054288664
25,-1306.2406611507672,1.3745738295995025,84.58788731925014,-81.67360040555498,0.10440235835835589,-1.5762359317304309,0.5928248,0.20261532,2400,0,0,0,-0.0004617376535227804
26,-1246.8764448976508,0.13194178250502256,88.3558387660017,-97.74032822682801,0.0600396686544021,-0.3269404112690627,0.5877483,0.20376794,2500,0,0,0,-0.0018129212819416114
27,-883.0131248987382,-0.9643554109515566,91.71637753685717,-102.86716778430875,0.08286975439550098,0.7726550503611966,0.57820505,0.20185354,2600,0,0,0,0.00036670628038269504
28,-1347.3301079433204,-2.162931212672481,96.1187621351043,-109.78228472057818,0.08863938514532063,1.9835245553090517,0.57431495,0.20282571,2700,0,0,0,-0.00251626758444239
29,-712.6249548848756,-3.662525697187944,98.3046476929276,-118.16181485982054,0.08102000623891249,3.496623477550468,0.57675713,0.20499419,2800,0,0,0,-0.0026922715014091347
30,-1384.7765634800282,-4.776782178718233,103.36615027803363,-123.81344355316676,0.07998666176039362,4.609550050613454,0.58420527,0.20555948,2900,0,0,0,-0.002873231416179325
31,-827.6257787425398,-6.407474016902422,105.1010256118646,-130.86023329404065,0.1154741921684758,6.2060354261687305,0.52199,0.218359,3000,0,0,0,-0.003886083046896289
32,0.4679592890101242,-8.831908702850342,99.06793737411499,-142.26781209309897,0.07955380901694298,8.611655712127686,0.5087108,0.21752448,3002,0,0,0,0.060230148335297905
33,-1149.5708657995776,-7.740352758339474,109.40744039314944,-134.51250556374893,0.09751607475130736,7.52397519471694,0.51439226,0.21776181,3100,0,0,0,-0.0036324839817271346
34,-1535.9892823407636,-8.982874601577668,112.5017935145985,-139.55190934717456,0.11444276046973688,8.76987879745888,0.51606387,0.2176981,3200,0,0,0,-0.004556004702731315
35,-1161.0299010994233,-10.85971028987406,114.5983755853441,-144.54901726719507,0.11887159514607805,10.657398043056128,0.5047459,0.21332188,3300,0,0,0,-0.005937084535243435
36,-1236.6781603238885,-12.029195953599531,117.32036563603565,-149.31964961607449,0.12451178605608668,11.827875531933925,0.501422,0.21807954,3400,0,0,0,-0.005020507953132845
37,-1503.84362617353,-13.790691704762102,120.14492851154571,-153.99705872712312,0.1594072521761411,13.556788795122795,0.4759634,0.23203275,3500,0,0,0,-0.006510680098469159
38,-1513.8468188074821,-15.725988328858257,123.1439837526392,-161.14369237623632,0.1460899181839593,15.419412292916366,0.42901307,0.22551283,3600,0,0,0,-0.007270255757915954
39,-93.20958609665979,-17.052459902634926,126.24095581517075,-169.36441890318386,0.14012224562089853,16.76327729767019,0.428987,0.22598611,3700,0,0,0,-0.005014043338189171
40,-251.87353698727216,-16.698521154697495,128.36085260917844,-172.57756237710765,0.15216619061048986,16.41288257407821,0.42319673,0.22418404,3800,0,0,0,-0.002875398418800247
41,-254.24120818752377,-17.404715464472368,131.22417831420898,-178.9585049048016,0.11884252038417441,17.11151787608561,0.41649434,0.22148494,3900,0,0,0,-0.004475777129946835
42,-390.89660738396685,-17.73408172086433,133.37489329524314,-180.87554905952427,0.1398409935285146,17.410444092870964,0.40138203,0.23345114,4000,0,0,0,-0.005176515677498547
43,0.44255512275391284,-17.457156817118328,143.2433271408081,-199.12811787923178,0.1801497166355451,17.066848436991375,0.3602508,0.24170406,4002,0,0,0,0.1630292534828186
44,-1179.0739944969473,-18.147163710778667,135.63861521085104,-187.28671493011268,0.15007497776983952,17.77950010240889,0.3685572,0.24682285,4100,0,0,0,-0.004870717920565686
45,-1001.7276037306033,-18.474105574065184,138.02310608693645,-190.23697690610533,0.17679620369867444,18.089905184828474,0.4133305,0.27231455,4200,0,0,0,-0.0009275698910470462
